COMMENT,NRI burma14 autogeneration or parameters for 90 percent load factor
SORT_BY,0
LABEL,NRI
755.809524,17286
757.606015,17286
757.606015,17286
759.222857,17286
759.222857,17286
760.685714,17286
762.015584,17286
762.015584,17286
767.024762,17565
767.024762,17565
767.024762,17565
767.024762,17565
767.024762,17565
772.571429,17527
772.571429,17527
772.571429,17527
772.571429,17527
772.571429,17527
777.465546,17470
777.465546,17470
777.465546,17470
777.465546,17470
777.465546,17470
781.815873,17288
781.815873,17288
781.815873,17288
781.815873,17288
785.708271,17447
785.708271,17447
785.708271,17447
785.708271,17447
789.211429,17485
789.211429,17485
789.211429,17485
789.211429,17485
792.380952,17577
792.380952,17577
792.380952,17577
795.262338,17527
795.262338,17527
795.262338,17527
797.893168,17572
797.893168,17572
800.304762,17555
800.304762,17555
800.304762,17555
802.523429,17638
802.523429,17638
804.571429,17339
804.571429,17339
806.467725,17638
806.467725,17638
808.228571,17567
808.228571,17567
809.86798,17538
811.398095,17538
811.398095,17538
812.829493,17538
814.171429,17538
814.171429,17538
815.432035,17538
816.618487,17538
817.737143,17538
818.793651,17538
819.79305,17538
820.73985,17538
821.638095,17538
822.491429,17538
823.303136,17538
824.07619,17538
825.516883,17538
826.189206,17538
827.448024,17538
828.038095,17538
829.147429,17538
830.171429,17538
831.119577,17538
832,17538
833.208717,17538
834.580898,17576
835.584,17576
836.547765,17576
837.474462,17576
838.366189,17576
839.224889,17576
840.052364,17576
841.620211,17576
842.363586,17576
843.081763,17576
844.447475,17576
845.09729,17576
846.336,17576
847.499636,17576
848.055403,17576
849.118609,17576
850.121915,17576
851.070247,17576
852.399158,17576
853.228308,17576
854.016,17576
855.126361,17576
856.159256,17576
857.122517,17576
858.022957,17576
859.136,17576
860.16,17576
861.037714,17558
862.101099,17558
863.085714,17558
864,17558
865.054945,17558
866.023419,17558
867.085714,17558
868.052878,17558
869.077204,17558
870.004633,17558
871.075523,17558
872.174583,17502
873.032779,17502
874.146341,17502
875.027834,17502
876.110715,17502
877.100446,17502
878.008549,17502
879.04352,17502
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
965.485714,8556
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
